date_scraped,listing_type,expose_url,title,street,zipcode,cold_rent,warm_rent,rooms,square_meter,house_type,floor,year_built,object_condition,heating_type,pets_allowed,has_parking
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/115830906,Drei Zimmer Wohnung in Berlin Mitte,"Chausseestraße 37,","10115 Berlin, Mitte (Mitte)",1890,2083,3,73,,4,2017,Neuwertig,,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/116027828,Living in Berlin's most trendy and charming quarter,"Boyenstraße 31,","10115 Berlin, Mitte (Mitte)",780,830,1,20,Etagenwohnung,2,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/116364164,Wohnen im Townhouse mit teilgewerblicher Nutzung,,"10179 Berlin-Mitte, Mitte (Mitte)",5610,6446,6,220,Etagenwohnung,0 von 3,2013,Neuwertig,Fußbodenheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/116419411,Spacious apartment in one of the most central quarters of Berlin,"Klara Franke Straße 8,","10557 Berlin, Tiergarten (Tiergarten)",700,750,1,15,Etagenwohnung,4,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108165459,ERSTBEZUG: Luxuriös 3-Zi-Wohnung im Maybachuferkarree!,"Nansenstraße 23,","12047 Berlin, Neukölln (Neukölln)","1963,50",2380,3,119,Etagenwohnung,1 von 5,2019,Erstbezug,Fernwärme,,Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117753176,"2x Balkon, 3 Zimmer Whg. mit EBK und Tageslichtbad zum Erstbezug!!","Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","1772,92","2069,23",3,"98,77",Etagenwohnung,3 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/114774572,Traumhafte Dreiraumwohnung // EBK und 2x Balkon!,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","1766,18","2039,30",3,"91,04",Erdgeschosswohnung,3 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117753977,"Super Schöne 3 Zimmer Whg. mit EBK 2x Balkon, Tageslichtbad zum Erstbezug!!","Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","1772,22","2073,96",3,"100,58",Etagenwohnung,4 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117755274,"EBK, 2x Balkon, Erstbezug!! Klasse Dreiraumwohnung!!!","Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","1752,99","2043,54",3,"96,85",Etagenwohnung,3 von 5,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/102955863,Luxus-Wohnung mit Stellplatz im LUX nahe Brandenburger Tor & Unter den Linden,"Dorotheenstrasse 83,","10117 Berlin, Mitte (Mitte)",3440,4040,4,"176,5",Etagenwohnung,5 von 7,2015,Neuwertig,Fußbodenheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117122016,Gemütliche Altbauwohnung zur befristeten Vermietung,"Erich-Weinert-Str. 84,","10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",885,1075,2,"67,92",Etagenwohnung,4 von 5,1900,Vollständig renoviert,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/75055335,"On Top - Stilvoll Wohnen in den ""Kaiserhöfen""","Unter den Linden 28 a,","10117 Berlin-Mitte, Mitte (Mitte)","1876,39","2469,66",3,"137,97",Etagenwohnung,6 von 6,1913,Vollständig renoviert,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/82714629,Wohnen wie ein Kaiser mitten in Berlin!,"Mittelstraße 52,","10117 Berlin-Mitte, Mitte (Mitte)","2362,75","3138,90",4,"180,5",Etagenwohnung,5 von 6,1913,Vollständig renoviert,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/94804828,Kaiserliches Wohnen unter dem Berliner Himmel!,"Mittelstraße 51,","10117 Berlin-Mitte, Mitte (Mitte)","2924,92","3804,44",4,"204,54",Etagenwohnung,5 von 6,1913,Vollständig renoviert,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108130307,"Luxus-ERSTBEZUG 5 Zimmer, Wasserblick am Maybachufer !","Maybachufer 38,","12047 Berlin, Neukölln (Neukölln)",3230,4895,5,189,Etagenwohnung,2 von 5,2019,Erstbezug,Fernwärme,,Garage
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117827543,Wunderbare 3 Zi.Whg. EBK + 2x Balkon + Erstbezug,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","1610,59","1895,65",3,"95,02",Etagenwohnung,2 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118479216,Erdgeschosswohnung 4-Zi. // EBK + ZWEI Terrassen + Erstbezug,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","2325,25","2727,31",4,"134,02",Erdgeschosswohnung,0 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/115358240,Sehr viel Platz auf 122qm! EBK + Erstbezug + 2 Terrassen,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","2131,10","2499,59",4,"122,83",Etagenwohnung,0 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118843829,Möbliertes Wohnen in der Esplanade Residence!,,"10785 Berlin, Tiergarten (Tiergarten)",1275,1800,2,75,Sonstige,8,2000,Neuwertig,Fußbodenheizung,,1 Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118852938,Modern apartment close to central station in a popular and trendy neighborhood,"Klara Franke Straße 16,","10557 Berlin, Tiergarten (Tiergarten)",620,670,1,11,Etagenwohnung,1,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/104917098,Schicke 2-Zimmer-Wohnung in Wedding zu vermieten. Nur Einzeltermine!,"Sprengelstraße 2,","13353 Berlin, Wedding (Wedding)",433,543,2,44,Erdgeschosswohnung,0 von 5,1905,Saniert,Zentralheizung,Nach Vereinbarung,
